id;core;matching_rate;created_at;updated_at
1;Towels;28211;2024-01-09T23:19:10;2024-01-09T08:05:39
2;protocol;63084;2024-01-09T09:27:05;2024-01-10T02:07:10
3;transmit Fresh circuit;33509;2024-01-10T07:04:18;2024-01-09T23:16:13
4;application Illinois haptic;34307;2024-01-10T04:29:08;2024-01-09T20:01:18
5;bus Lead reboot;2199;2024-01-09T17:29:15;2024-01-09T07:58:16
6;cross-platform Customer definition;91311;2024-01-09T23:54:56;2024-01-09T16:20:08
7;Multi-channelled;254;2024-01-09T10:09:45;2024-01-10T04:21:35
8;wireless;70032;2024-01-10T04:37:55;2024-01-10T03:26:34
9;Zimbabwe auxiliary;54891;2024-01-09T08:20:50;2024-01-09T09:20:45
10;National Garden;54997;2024-01-10T05:50:02;2024-01-09T23:07:33
