id;company_name;stock;position
1;Dynamic Applications;intermediate Wall;auxiliary backing
2;Account out-of-the-box;transmit invoice envisioneer;Dynamic Track
3;Baht Granite ROI;teal Centers niches;lime Ergonomic Toys
4;world-class ivory;Port virtual;Small recontextualize
5;parsing Unbranded;calculating;Tugrik Pennsylvania Zealand
6;purple Public-key;Syrian;Georgia niches
7;parse model up;Ecuador;Group Ergonomic
8;Loan e-enable;violet Principal;Avon Grenada Bedfordshire
9;protocol;Bénin Car;teal
10;invoice protocol convergence;fuchsia relationships Rial;Frozen niches
