id;username;fullname;status;total_chat_room;jhi_rank;is_dynamic
1;Practical green Buckinghamshire;Paradigm backing York;true;44388;47244;false
2;B2B Account Tools;calculate Gibraltar Pennsylvania;true;41024;53574;true
3;Credit Shoes Point;compress Account;true;21967;991;true
4;Coordinator Markets;uniform Garden generating;true;43284;55160;false
5;content sensor Gorgeous;Buckinghamshire California Car;true;12127;14149;false
6;Borders invoice optical;Usability index bleeding-edge;true;69277;87703;false
7;indexing;Group;false;96895;6255;true
8;vertical;mint North Forges;false;89146;53340;true
9;Missouri;International;false;25584;6880;true
10;Salvador transparent;mobile Object-based;false;30239;30293;true
