id;user_id;chat_room_id;created_at;updated_at;deleted_at;skip
1;2854;70589;2023-07-03T12:39:43;2023-07-03T21:06:28;2023-07-03T05:31:22;Connecticut
2;78922;66365;2023-07-03T13:56:27;2023-07-03T11:54:41;2023-07-04T01:51:42;Nebraska platforms Hawaii
3;89609;16843;2023-07-03T08:18:14;2023-07-03T08:26:40;2023-07-03T10:34:42;Bacon
4;31012;13142;2023-07-03T20:05:05;2023-07-03T15:50:07;2023-07-04T00:56:32;Web Island Account
5;99914;95027;2023-07-03T03:48:02;2023-07-03T18:55:58;2023-07-03T16:20:22;hacking SSL
6;72531;26367;2023-07-03T16:36:10;2023-07-03T21:33:32;2023-07-03T17:51:24;Reverse-engineered
7;8771;61966;2023-07-03T07:38:15;2023-07-03T03:47:52;2023-07-04T02:25:53;wireless
8;2336;50384;2023-07-03T21:02:50;2023-07-03T03:06:28;2023-07-03T02:54:44;Virginia transmitter Facilitator
9;61407;93059;2023-07-03T07:44:42;2023-07-03T11:20:06;2023-07-03T21:46:19;Gibraltar Account
10;73090;97476;2023-07-03T07:24:11;2023-07-03T17:54:52;2023-07-03T11:12:23;View Assurance bluetooth
