id;account_number;sub_number;user_name;allocated_ratio;order_set_type;created_at;updated_at
1;driver;Wells;Function-based Re-engineered Mouse;62801;SAFE_MATCH;2023-07-05T02:00:28;2023-07-04T18:21:36
2;engineer Avon;withdrawal;Sausages Buckinghamshire Tactics;20342;QUICK_MATCH;2023-07-04T09:10:08;2023-07-04T22:10:23
3;Michigan Handmade;digital;platforms HTTP program;33846;SAFE_MATCH;2023-07-04T19:29:19;2023-07-04T16:09:58
4;extend parse knowledge;Unbranded Grocery deposit;content maximized Metal;32809;SAFE_MATCH;2023-07-05T05:11:33;2023-07-05T00:27:43
5;Delaware Forward;to frame;best-of-breed Applications Checking;67324;QUICK_MATCH;2023-07-04T17:22:08;2023-07-04T19:16:34
6;target;web-readiness Auto Michigan;primary Lev Cotton;95791;SAFE_MATCH;2023-07-05T02:44:47;2023-07-04T23:08:28
7;Awesome;Automated customer XSS;Ergonomic;23451;QUICK_MATCH;2023-07-05T00:39:58;2023-07-04T21:03:28
8;invoice CSS visionary;Franc Buckinghamshire;Money;40441;SAFE_MATCH;2023-07-04T17:42:20;2023-07-05T02:42:54
9;Maldives Planner grow;Soap Awesome;Bacon Bedfordshire Bypass;64258;QUICK_MATCH;2023-07-05T04:20:21;2023-07-05T04:10:38
10;Planner Upgradable Soap;Analyst Chips Producer;Architect;27505;SAFE_MATCH;2023-07-05T03:58:49;2023-07-05T06:05:00
