id;total_sub;created_at;updated_at
1;95983;2023-07-04T17:13:56;2023-07-04T16:07:03
2;16628;2023-07-05T00:45:24;2023-07-04T11:34:14
3;63966;2023-07-04T20:00:56;2023-07-04T17:10:05
4;92310;2023-07-05T01:10:46;2023-07-04T10:53:19
5;75877;2023-07-04T13:04:05;2023-07-04T22:50:11
6;78635;2023-07-04T09:46:43;2023-07-05T03:03:45
7;91697;2023-07-04T19:00:27;2023-07-04T13:09:08
8;21702;2023-07-04T09:26:06;2023-07-04T11:58:11
9;27662;2023-07-04T13:09:24;2023-07-04T12:53:32
10;8481;2023-07-04T20:55:36;2023-07-04T21:04:08
