id;job_id;symbol;fee;tax;order_number;sell_buy_type;exchange_type;order_type;order_quantity;order_price;api_param;api_status_code;api_error_message;created_at;updated_at
1;black Madagascar Rubber;transmitting;64558;65054;Handcrafted RSS;SELL;UPCOM;MP;13458;59014;quantify;Missouri Carolina;Ringgit overriding world-class;2023-07-04T14:13:42;2023-07-04T18:23:58
2;Kentucky;Berkshire responsive Bhutan;95776;67601;open;SELL;HNX;ATO;32391;75782;transition;Borders;interface Soft Specialist;2023-07-04T13:06:43;2023-07-04T10:43:50
3;Jewelery;solution rich;87650;12718;Distributed generation;SELL;HOSE;PLO;97990;14984;Concrete Licensed interface;logistical Steel;Cheese Credit quantify;2023-07-04T17:20:14;2023-07-04T22:03:35
4;Sausages invoice;solid;45861;46631;invoice hack Investment;SELL;UPCOM;MTL;80905;91164;Saint navigating Executive;quantify;synthesizing Light;2023-07-04T17:05:22;2023-07-05T00:33:20
5;seize;Orchestrator;37508;39001;Buckinghamshire;SELL;HOSE;MOK;23676;41246;invoice USB;Incredible payment;Afghani;2023-07-04T09:33:30;2023-07-04T22:39:00
6;Auto;connect Jewelery;9063;48487;Creative compressing Generic;SELL;UPCOM;MTL;71776;61724;Senior;compress killer connect;Vatu program Frozen;2023-07-04T20:29:35;2023-07-05T01:38:28
7;lavender Intelligent connecting;Alabama Colorado Shoes;49200;7004;fuchsia;BUY;HNX;ATC;31169;39895;International;multi-byte Yuan Small;24 transition redefine;2023-07-05T02:26:57;2023-07-05T05:51:22
8;Administrator;Hat Chips Tuna;50082;99151;transmitter;BUY;HOSE;MAK;11986;4920;Wooden;services virtual;Customer-focused Squares;2023-07-04T08:37:57;2023-07-04T14:08:35
9;channels methodical synthesize;Court Tools;58383;27260;paradigms;SELL;HOSE;MAK;3724;89313;rich Account;Checking;Mouse Refined;2023-07-05T04:34:39;2023-07-04T17:27:24
10;invoice Books;Polarised Jewelery Chips;76873;74534;Strategist Tasty;BUY;HNX;PLO;8717;27608;Tasty wireless;one-to-one Toys;engage adapter;2023-07-04T10:36:21;2023-07-04T19:28:28
