id;report_date;net_assets_value;nav_profit_loss_ratio;acc_nav_ratio;created_at;updated_at
1;2023-07-19T15:23:15;90496;97053;67915;24196;true
2;2023-07-19T18:13:49;79082;24063;62244;21407;true
3;2023-07-19T23:15:56;13128;58456;22188;66277;true
4;2023-07-19T17:01:57;76064;25728;7250;41775;true
5;2023-07-19T08:54:27;4892;39940;92774;38466;false
6;2023-07-19T19:39:19;55617;49796;16500;7666;true
7;2023-07-19T11:11:17;5012;50367;1812;80074;true
8;2023-07-19T08:37:26;72853;250;20206;47272;true
9;2023-07-19T12:20:44;24617;21645;48143;29642;false
10;2023-07-19T17:28:37;60556;75185;40633;15497;true
