id;year;event_holiday;start_date;end_date;created_at;updated_at
1;81290;override matrix;2023-07-27T01:57:56;2023-07-27T03:24:39;2023-07-26T05:33:06;2023-07-27T02:30:54
2;81426;Iranian PCI;2023-07-26T10:37:39;2023-07-26T10:08:37;2023-07-26T07:45:44;2023-07-26T18:46:11
3;65066;Wooden;2023-07-27T01:11:18;2023-07-26T23:00:35;2023-07-26T20:23:28;2023-07-27T00:42:46
4;48946;navigate recontextualize middleware;2023-07-26T09:55:18;2023-07-26T13:20:25;2023-07-26T22:32:21;2023-07-26T14:39:28
5;80883;dynamic;2023-07-26T04:41:19;2023-07-26T10:17:41;2023-07-26T15:59:34;2023-07-26T13:28:26
6;11690;Supervisor Peso;2023-07-26T13:54:56;2023-07-26T10:24:35;2023-07-26T14:56:51;2023-07-26T09:10:36
7;45888;User Clothing Bedfordshire;2023-07-26T13:04:19;2023-07-26T23:17:27;2023-07-26T18:56:30;2023-07-26T16:47:47
8;38952;Future Flat;2023-07-26T18:50:35;2023-07-26T04:01:04;2023-07-26T03:45:00;2023-07-27T02:20:20
9;98250;contextually-based Jewelery;2023-07-26T14:01:44;2023-07-26T08:07:18;2023-07-26T14:17:15;2023-07-27T01:44:42
10;42832;Plastic invoice Plastic;2023-07-26T07:49:29;2023-07-26T08:22:15;2023-07-26T07:16:52;2023-07-26T05:48:27
