id;is_success;time_start;time_end;error
1;true;2024-07-18T19:45:37;2024-07-19T06:02:19;circuit Sleek
2;false;2024-07-18T09:19:53;2024-07-19T01:27:09;pixel Representative Checking
3;true;2024-07-18T20:22:40;2024-07-18T10:33:45;metrics Agent Grocery
4;false;2024-07-18T14:55:00;2024-07-18T23:33:21;transmit mobile Car
5;true;2024-07-19T06:24:26;2024-07-18T17:49:08;Nevada Maryland Credit
6;true;2024-07-18T12:27:30;2024-07-19T08:02:51;collaborative Maine
7;true;2024-07-18T13:39:24;2024-07-18T14:34:27;matrix exuding
8;true;2024-07-18T23:14:47;2024-07-18T11:37:07;Alley Guam
9;true;2024-07-19T07:25:57;2024-07-18T22:53:16;Quality
10;false;2024-07-18T16:50:18;2024-07-18T10:43:41;Loan
