Seq.,Task,Expected Duration,4th week (Feb.),1st week (Mar.),2nd week (Mar.),3rd week (Mar.),4th week (Mar.),1st week (Apr.),2nd week (Apr.)
,PART 1: LOTTE IMPLEMENTATION,,,,,,,,
1.1,Receiving & Review final API specification from Lotte,3 days,60%,,,,,,
1.2,Assign staff in charge (Lotte side),1 day,40%,,,,,,
1.3,Review & confirm Smart OTP API contract,2 days,40%,,,,,,
1.4,Lotte API Development & Internal Testing,7 days,,100%,,,,,
1.5,Lotte provides Sandbox API for NHSV,1 day,,20%,,,,,
,PART 2: NHSV IMPLEMENTATION,,,,,,,,
2.1,UI/UX Design for Smart OTP flows,3 days,,,60%,,,,
2.2,Define TradeX API specifications & integration plan,2 days,,,40%,,,,
2.3,API Implementation (integrate Lotte Smart OTP API),5 days,,,40%,60%,,,
2.4,Frontend Implementation on NHSV Pro (iOS & Android),7 days,,,,70%,60%,,
2.5,Internal Testing + Joint UAT with Lotte,5 days,,,,,70%,60%,
2.6,Bug fixing & Optimization,3 days,,,,,,60%,
2.7,Go-Live Smart OTP on NHSV Pro,1 day,,,,,,20%,
